id,company_id,rule_type,definition,date_created,last_updated
58,541,regex_and_mcc,"{""pattern"": ""HOME DEPOT"", ""mcc_code"": 5200}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
59,462,regex_and_mcc,"{""pattern"": ""COSTCO"", ""mcc_code"": 5300}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
60,80,regex_and_mcc,"{""pattern"": ""SAM'S CLUB"", ""mcc_code"": 5300}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
61,463,regex_and_mcc,"{""pattern"": ""BIG LOTS"", ""mcc_code"": 5310}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
62,636,regex_and_mcc,"{""pattern"": ""DOLLAR GE"", ""mcc_code"": 5310}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
63,81,regex_and_mcc,"{""pattern"": ""JET.COM"", ""mcc_code"": 5310}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
64,88,regex_and_mcc,"{""pattern"": ""KMART"", ""mcc_code"": 5310}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
65,407,regex_and_mcc,"{""pattern"": ""ROSS"", ""mcc_code"": 5310}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
66,460,regex_and_mcc,"{""pattern"": ""TARGET"", ""mcc_code"": 5310}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
67,79,regex_and_mcc,"{""pattern"": ""WAL-MART"", ""mcc_code"": 5310}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
68,79,regex_and_mcc,"{""pattern"": ""WALMART"", ""mcc_code"": 5310}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
69,79,regex_and_mcc,"{""pattern"": ""WM SUPERCENTER"", ""mcc_code"": 5310}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
70,85,regex_and_mcc,"{""pattern"": ""BLOOMINGDALE'S"", ""mcc_code"": 5311}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
71,465,regex_and_mcc,"{""pattern"": ""JCPENNEY"", ""mcc_code"": 5311}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
72,408,regex_and_mcc,"{""pattern"": ""KOHLS"", ""mcc_code"": 5311}",2017-04-25 01:04:00.114965+00,2017-04-25 01:04:00.114965+00
